"Year","Total_Reported_Cases","Total_Deaths"
1970,15,4
1971,22931,2945
1972,1363,96
1973,157,27
1975,38,1
1976,112,25
1977,376,10
1978,197,20
1979,293,4
1980,138,25
1981,107,18
1982,248,18
1983,178,2
1984,1667,185
1985,30,0
1986,91,23
1987,1290,111
1988,137,10
1989,1078,61
1991,59478,7654
1992,8687,686
1993,4160,266
1994,2859,313
1995,1059,87
1996,12374,1193
1997,1322,134
1998,3464,187
1999,26358,2085
2000,2799,43
2001,2312,119
2002,5429,154
2003,1933,87
2004,3186,185
2005,4477,174
2006,2028,127
2007,1661,48
2008,5410,247
2009,13691,431
2010,44456,1712
2011,23377,742
2012,597,18
2013,6600,229
2014,35996,755
2015,5290,186
2016,768,32
