"Countries","total_cases","total_deaths"
"India",1363250,509438
"Haiti",795794,9411
"Peru",736195,5285
"Democratic Republic of the Congo",521607,22457
"Indonesia",394945,30600
"Mozambique",327913,7696
"Somalia",311203,10859
"Nigeria",310217,21479
"Bangladesh",294647,137429
"Afghanistan",263843,2641
"United Republic of Tanzania",228048,12725
"Angola",191036,9920
"South Africa",186463,904
"Brazil",173220,1774
"Ghana",167934,5849
"Zimbabwe",153428,7137
"Malawi",142935,3464
"Ethiopia",118297,1521
"Kenya",118214,3873
"Uganda",108877,4408
"Philippines",98835,7851
"Zambia",97606,4877
"Guinea-Bissau",95657,2089
"Ecuador",93972,1069
"China",86905,727
"Liberia",85354,848
"Chad",80846,6170
"Sudan",80634,2098
"Cameroon",76422,4431
"Guatemala",74430,771
"Viet Nam",73128,1592
"Iran (Islamic Republic of)",72794,488
"Guinea",68305,2469
"Nepal",68011,1934
"Senegal",67623,2486
"Sierra Leone",61844,2475
"Thailand",55982,2969
"Yemen",52462,572
"Madagascar",46531,2634
"Mexico",45781,526
"Bolivia (Plurinational State of)",42548,854
"Niger",40624,4220
"Myanmar",38847,10394
"Colombia",36678,523
"Burundi",35219,782
"Mali",33620,4635
"Dominican Republic",33223,499
"Nicaragua",32442,743
"El Salvador",31860,137
"Benin",31581,1108
"Pakistan",28301,1772
"Malaysia",25466,597
"Cote d'Ivoire",24303,1069
"Iraq",22728,106
"Congo",20166,525
"Djibouti",19430,342
"Lao People's Democratic Republic",18352,1114
"Comoros",17866,519
"Mauritania",17765,649
"Cambodia",17392,1054
"Togo",16344,769
"Honduras",15382,329
"Cabo Verde",14144,284
"Papua New Guinea",13782,606
"Algeria",12729,650
"Burkina Faso",12707,1424
"South Sudan",12534,296
"Rwanda",11813,394
"Maldives",11336,220
"Sri Lanka",10461,598
"Eswatini",10107,214
"Sao Tome and Principe",7861,120
"Venezuela (Bolivarian Republic of)",6969,163
"Equatorial Guinea",6962,66
"Morocco",4644,137
"Argentina",4550,82
"Syrian Arab Republic",4472,138
"Namibia",4342,59
"Panama",3636,82
"Portugal",3599,60
"Micronesia (Federated States of)",3501,21
"Republic of Korea",2985,207
"Russian Federation",2029,18
"Kiribati",1801,21
"Japan",1723,5
"Jordan",1595,5
"Ukraine",1448,30
"Libya",1173,30
"Bahrain",1065,6
"Bhutan",960,25
"Central African Republic",923,141
"Saudi Arabia",908,66
"Singapore",893,28
"Cuba",739,3
"Romania",712,25
"Tunisia",687,16
"Gabon",649,2
"Turkmenistan",647,8
"Guyana",642,10
"Albania",626,25
"United Kingdom of Great Britain and Northern Ireland",442,1
"United States of America",439,1
"Lebanon",432,24
"Turkiye",401,52
"Belize",387,10
"Spain",360,0
"Tuvalu",335,8
"Brunei Darussalam",325,6
"Kuwait",325,1
"Italy",307,41
"Marshall Islands",300,6
"Gambia",252,14
"Republic of Moldova",249,5
"Israel",202,10
"France",184,1
"Chile",180,5
"Seychelles",178,1
"Democratic People's Republic of Korea",177,0
"Mongolia",177,12
"Tajikistan",175,5
"Tonga",145,2
"Australia",127,0
"Eritrea",120,9
"Costa Rica",108,1
"Kazakhstan",99,0
"Nauru",88,0
"Canada",81,1
"Germany",70,1
"Netherlands (Kingdom of the)",60,1
"Sweden",29,0
"Armenia",25,0
"Botswana",23,3
"Azerbaijan",18,0
"New Zealand",18,1
"Oman",18,8
"Switzerland",16,0
"Paraguay",12,0
"Suriname",12,1
"Denmark",11,0
"The former state union Serbia and Montenegro",11,1
"Belgium",10,0
"Austria",9,0
"Norway",9,0
"Georgia",8,0
"Finland",7,0
"Belarus",6,0
"Czechia",6,1
"United Arab Emirates",5,0
"Kyrgyzstan",4,0
"Qatar",4,0
"Poland",3,0
"Bahamas",2,0
"Estonia",2,0
"Greece",2,0
"Hungary",1,0
"Ireland",1,0
"Samoa",1,0
"Uzbekistan",1,0
"Andorra",0,0
"Lesotho",0,0
"Mauritius",0,0
"Slovenia",0,0
