"Countries","avg_fatality_rate"
"Italy",53.327
"Bangladesh",27.3029545454545
"Oman",22.2225
"Myanmar",17.5328888888889
"Cambodia",16.7
"Burkina Faso",15.6931818181818
"India",15.14859375
"Mali",14.1829166666667
"Djibouti",12.722
"Czechia",12.5
"Zambia",11.5678571428571
"Cameroon",10.5329545454545
"Lao People's Democratic Republic",10.4933333333333
"Niger",10.238
"Chad",10.0361111111111
"Viet Nam",9.95723404255319
"Indonesia",9.09846153846154
"Central African Republic",8.34142857142857
"The former state union Serbia and Montenegro",8.3325
"Suriname",8.33
"Togo",8.1653125
"Papua New Guinea",7.876
"Nigeria",7.72133333333333
"United Republic of Tanzania",7.7055
"Congo",7.50733333333333
"Pakistan",7.000625
"Cote d'Ivoire",6.82
"Turkiye",6.77
"Democratic Republic of the Congo",6.65948717948718
"Guinea",6.4852380952381
"Botswana",6.4575
"Mauritania",6.39529411764706
"Uganda",6.33451612903226
"Sao Tome and Principe",6.01142857142857
"Saudi Arabia",5.94454545454545
"Libya",5.76
"Sudan",5.7425
"Mozambique",5.73
"Gabon",5.71428571428571
"Benin",5.41487179487179
"Yemen",5.41461538461538
"Sierra Leone",5.349375
"Philippines",5.06348837209302
"Senegal",4.88636363636364
"Somalia",4.8212
"Panama",4.67
"Angola",4.66961538461538
"Zimbabwe",4.5148
"Algeria",4.4125
"Netherlands (Kingdom of the)",4.34782608695652
"Sri Lanka",4.3205
"Cabo Verde",4.23222222222222
"Kenya",4.15552631578947
"Albania",3.99
"Eswatini",3.98529411764706
"Afghanistan",3.92409090909091
"Guinea-Bissau",3.80666666666667
"Belize",3.78
"Ghana",3.77581395348837
"New Zealand",3.70333333333333
"Rwanda",3.565625
"China",3.50514285714286
"Mongolia",3.39
"Comoros",3.28615384615385
"Syrian Arab Republic",3.20428571428571
"Thailand",3.15179487179487
"Malaysia",2.8634693877551
"Venezuela (Bolivarian Republic of)",2.82
"Malawi",2.79030303030303
"Singapore",2.72487804878049
"Liberia",2.71285714285714
"Nepal",2.65057142857143
"Kuwait",2.56384615384615
"Bolivia (Plurinational State of)",2.395
"South Sudan",2.36666666666667
"Republic of Korea",2.25294117647059
"Guyana",2.21
"Equatorial Guinea",2.162
"Honduras",2.08727272727273
"Burundi",2.068
"Marshall Islands",2
"Maldives",1.94
"Turkmenistan",1.935
"Eritrea",1.89
"Madagascar",1.88111111111111
"Nicaragua",1.829
"Gambia",1.8
"Ethiopia",1.77818181818182
"Lebanon",1.708
"Romania",1.69857142857143
"Dominican Republic",1.63142857142857
"Tajikistan",1.515
"Portugal",1.49166666666667
"Chile",1.458
"Russian Federation",1.4052
"Tonga",1.38
"Tuvalu",1.365
"Japan",1.30883720930233
"Ecuador",1.2
"Namibia",1.19714285714286
"Bhutan",1.142
"Haiti",1.13857142857143
"Colombia",1.128
"Iran (Islamic Republic of)",1.02822222222222
"Argentina",0.942857142857143
"Bahrain",0.938333333333333
"South Africa",0.914074074074074
"Brazil",0.89
"Costa Rica",0.876666666666667
"Tunisia",0.813333333333333
"Kiribati",0.805
"Germany",0.78125
"Israel",0.772857142857143
"Ukraine",0.726666666666667
"Micronesia (Federated States of)",0.704
"Republic of Moldova",0.693333333333333
"Iraq",0.6875
"El Salvador",0.681111111111111
"Canada",0.6668
"Guatemala",0.645384615384615
"United Kingdom of Great Britain and Northern Ireland",0.609756097560976
"Peru",0.6075
"Morocco",0.6
"France",0.505151515151515
"Brunei Darussalam",0.505
"Mexico",0.441764705882353
"Cuba",0.18
"Seychelles",0.14
"Jordan",0.115
"United States of America",0.033448275862069
"Andorra",0
"Armenia",0
"Australia",0
"Austria",0
"Azerbaijan",0
"Bahamas",0
"Belarus",0
"Belgium",0
"Democratic People's Republic of Korea",0
"Denmark",0
"Estonia",0
"Finland",0
"Georgia",0
"Greece",0
"Hungary",0
"Ireland",0
"Kazakhstan",0
"Kyrgyzstan",0
"Lesotho",0
"Mauritius",0
"Nauru",0
"Norway",0
"Paraguay",0
"Poland",0
"Qatar",0
"Samoa",0
"Slovenia",0
"Spain",0
"Sweden",0
"Switzerland",0
"United Arab Emirates",0
"Uzbekistan",0
