"Countries","total_reported_cases"
"India",1363250
"Haiti",795794
"Peru",736195
"Democratic Republic of the Congo",521607
"Indonesia",394945
"Mozambique",327913
"Somalia",311203
"Nigeria",310217
"Bangladesh",294647
"Afghanistan",263843
"United Republic of Tanzania",228048
"Angola",191036
"South Africa",186463
"Brazil",173220
"Ghana",167934
"Zimbabwe",153428
"Malawi",142935
"Ethiopia",118297
"Kenya",118214
"Uganda",108877
"Philippines",98835
"Zambia",97606
"Guinea-Bissau",95657
"Ecuador",93972
"China",86905
"Liberia",85354
"Chad",80846
"Sudan",80634
"Cameroon",76422
"Guatemala",74430
"Viet Nam",73128
"Iran (Islamic Republic of)",72794
"Guinea",68305
"Nepal",68011
"Senegal",67623
"Sierra Leone",61844
"Thailand",55982
"Yemen",52462
"Madagascar",46531
"Mexico",45781
"Bolivia (Plurinational State of)",42548
"Niger",40624
"Myanmar",38847
"Colombia",36678
"Burundi",35219
"Mali",33620
"Dominican Republic",33223
"Nicaragua",32442
"El Salvador",31860
"Benin",31581
"Pakistan",28301
"Malaysia",25466
"Cote d'Ivoire",24303
"Iraq",22728
"Congo",20166
"Djibouti",19430
"Lao People's Democratic Republic",18352
"Comoros",17866
"Mauritania",17765
"Cambodia",17392
"Togo",16344
"Honduras",15382
"Cabo Verde",14144
"Papua New Guinea",13782
"Algeria",12729
"Burkina Faso",12707
"South Sudan",12534
"Rwanda",11813
"Maldives",11336
"Sri Lanka",10461
"Eswatini",10107
"Sao Tome and Principe",7861
"Venezuela (Bolivarian Republic of)",6969
"Equatorial Guinea",6962
"Morocco",4644
"Argentina",4550
"Syrian Arab Republic",4472
"Namibia",4342
"Panama",3636
"Portugal",3599
"Micronesia (Federated States of)",3501
"Republic of Korea",2985
"Russian Federation",2029
"Kiribati",1801
"Japan",1723
"Jordan",1595
"Ukraine",1448
"Libya",1173
"Bahrain",1065
"Bhutan",960
"Central African Republic",923
"Saudi Arabia",908
"Singapore",893
"Cuba",739
"Romania",712
"Tunisia",687
"Gabon",649
"Turkmenistan",647
"Guyana",642
"Albania",626
"United Kingdom of Great Britain and Northern Ireland",442
"United States of America",439
"Lebanon",432
"Turkiye",401
"Belize",387
"Spain",360
"Tuvalu",335
"Brunei Darussalam",325
"Kuwait",325
"Italy",307
"Marshall Islands",300
"Gambia",252
"Republic of Moldova",249
"Israel",202
"France",184
"Chile",180
"Seychelles",178
"Democratic People's Republic of Korea",177
"Mongolia",177
"Tajikistan",175
"Tonga",145
"Australia",127
"Eritrea",120
"Costa Rica",108
"Kazakhstan",99
"Nauru",88
"Canada",81
"Germany",70
"Netherlands (Kingdom of the)",60
"Sweden",29
"Armenia",25
"Botswana",23
"Azerbaijan",18
"New Zealand",18
"Oman",18
"Switzerland",16
"Paraguay",12
"Suriname",12
"Denmark",11
"The former state union Serbia and Montenegro",11
"Belgium",10
"Austria",9
"Norway",9
"Georgia",8
"Finland",7
"Belarus",6
"Czechia",6
"United Arab Emirates",5
"Kyrgyzstan",4
"Qatar",4
"Poland",3
"Bahamas",2
"Estonia",2
"Greece",2
"Hungary",1
"Ireland",1
"Samoa",1
"Uzbekistan",1
"Andorra",0
"Lesotho",0
"Mauritius",0
"Slovenia",0
